Bigram,Percent Frequency
TH,3.5560
HE,3.0750
IN,2.4330
ER,2.0480
AN,1.9850
RE,1.8540
ON,1.7580
AT,1.4870
EN,1.4540
ND,1.3520
TI,1.3430
ES,1.3390
OR,1.2770
TE,1.2050
OF,1.1750
ED,1.1680
IS,1.1280
IT,1.1230
AL,1.0870
AR,1.0750
ST,1.0530
TO,1.0410
NT,1.0410
NG,0.9530
SE,0.9320
HA,0.9260
AS,0.8710
OU,0.8700
IO,0.8350
LE,0.8290
VE,0.8250
CO,0.7940
ME,0.7930
DE,0.7650
HI,0.7630
RI,0.7280
RO,0.7270
IC,0.6990
NE,0.6920
EA,0.6880
RA,0.6860
CE,0.6510
LI,0.6240
CH,0.5980
LL,0.5770
BE,0.5760
MA,0.5650
SI,0.5500
OM,0.5460
UR,0.5430
CA,0.5380
EL,0.5300
TA,0.5300
LA,0.5280
NS,0.5090
DI,0.4930
FO,0.4880
HO,0.4850
PE,0.4780
EC,0.4770
PR,0.4740
NO,0.4650
CT,0.4610
US,0.4540
AC,0.4480
OT,0.4420
IL,0.4320
TR,0.4260
LY,0.4250
NC,0.4160
ET,0.4130
UT,0.4050
SS,0.4050
SO,0.3980
RS,0.3970
UN,0.3940
LO,0.3870
GE,0.3850
WA,0.3850
IE,0.3850
WH,0.3790
EE,0.3780
WI,0.3740
EM,0.3740
AD,0.3680
OL,0.3650
RT,0.3620
WE,0.3610
PO,0.3610
NA,0.3470
UL,0.3460
NI,0.3390
TS,0.3370
MO,0.3370
OW,0.3300
PA,0.3240
IM,0.3180
MI,0.3180
AI,0.3160
IR,0.3150
SH,0.3150
SU,0.3110
ID,0.2960
OS,0.2900
IV,0.2880
IA,0.2860
AM,0.2850
FI,0.2850
CI,0.2810
VI,0.2700
PL,0.2630
EV,0.2550
TU,0.2550
IG,0.2550
LD,0.2530
RY,0.2480
MP,0.2390
FE,0.2370
BL,0.2330
AB,0.2300
GH,0.2280
TY,0.2270
OP,0.2240
WO,0.2220
SA,0.2180
AY,0.2170
EX,0.2140
KE,0.2140
FR,0.2130
OO,0.2100
AV,0.2050
AG,0.2050
AP,0.2030
IF,0.2030
GR,0.1970
OD,0.1950
BO,0.1950
SP,0.1910
